country,year,banking_crisis,systemic_crisis,gold_standard,exch_usd,national_currency,exch_sources,domestic_debt_in_default,soreign_extenal_deb_1,soreign_extenal_deb_2,gdp_weighted_default,inflation_annual_percentages_average,independence,currency_crises,inflation_crises,id
Algeria,1956.0,0.0,0.0,0,3.5,32.0,9,0.0,0.0,0.0,0.0,2.0,0,0,0.0,125
Algeria,1957.0,0.0,0.0,0,4.199,32.0,9,0.0,0.0,0.0,0.0,2.9,0,0,0.0,126
Algeria,1958.0,0.0,0.0,0,4.906,32.0,9,0.0,0.0,0.0,0.0,12.3,0,0,0.0,127
Algeria,1959.0,0.0,0.0,0,4.909,32.0,9,0.0,0.0,0.0,0.0,9.2,0,0,0.0,128
Algeria,1960.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,5.4,0,1,0.0,129
Algeria,1961.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,2.9,0,0,0.0,130
Algeria,1962.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,131
Algeria,1963.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,132
Algeria,1964.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,133
Algeria,1965.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,134
Algeria,1966.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,135
Algeria,1967.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.5,1,0,0.0,136
Algeria,1968.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,6.6,1,0,0.0,137
Algeria,1969.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,2.6,1,0,0.0,138
Algeria,1970.0,0.0,0.0,0,4.93706,32.0,9,0.0,0.0,0.0,0.0,3.7,1,0,0.0,139
Algeria,1971.0,0.0,0.0,0,4.644,32.0,9,0.0,0.0,0.0,0.0,6.2,1,0,0.0,140
Algeria,1972.0,0.0,0.0,0,4.556,32.0,9,0.0,0.0,0.0,0.0,4.7,1,0,0.0,141
Algeria,1973.0,0.0,0.0,0,4.185,32.0,9,0.0,0.0,0.0,0.0,9.0,1,0,0.0,142
Algeria,1974.0,0.0,0.0,0,3.997,32.0,9,0.0,0.0,0.0,0.0,8.9,1,0,0.0,143
Algeria,1975.0,0.0,0.0,0,4.125,32.0,9,0.0,0.0,0.0,0.0,12.1,1,0,0.0,144
Algeria,1976.0,0.0,0.0,0,4.359,32.0,9,0.0,0.0,0.0,0.0,17.2,1,0,0.0,145
Algeria,1977.0,0.0,0.0,0,4.035,32.0,9,0.0,0.0,0.0,0.0,11.5,1,0,0.0,146
Algeria,1978.0,0.0,0.0,0,3.8345,32.0,9,0.0,0.0,0.0,0.0,9.7,1,0,0.0,147
Algeria,1979.0,0.0,0.0,0,3.7555,32.0,9,0.0,0.0,0.0,0.0,14.6,1,0,0.0,148
Algeria,1980.0,0.0,0.0,0,3.9715,32.0,9,0.0,0.0,0.0,0.0,9.7,1,0,0.0,149
Algeria,1981.0,0.0,0.0,0,4.378,32.0,9,0.0,0.0,0.0,0.0,14.6,1,0,0.0,150
Algeria,1982.0,0.0,0.0,0,4.6355,32.0,9,0.0,0.0,0.0,0.0,6.6,1,0,0.0,151
